Marca;Nombre;Precio_Actual;Precio_Antiguo;Descuento;Valoracion
ASUS;"
			Portátil gaming - ASUS ROG Strix G G731GW-EV061, 17"", Intel® Core™ i7-9750H, 16GB, 512 SSD, RTX2070, FDOS";1530,-;Sin descuento;Sin descuento;No Valorado
ASUS;"
			Portátil gaming - ASUS ROG Zephyrus S GX701GWR-H6063T, 17"" FHD, i7-9750H, 16GB, 512GB SSD, RTX2070, W10";1799,-;"


		1899,-";"
		Te ahorras: € 100,00";['value-5']
HP;"
			Portátil - Notebook - 15-da0230ns, 15.6"" HD, Intel® Core™ i3-7020U, 8 GB RAM, 1 TB + 128 GB SSD, W10, Blanco";489,-;Sin descuento;Sin descuento;No Valorado
MSI;"
			Portátil gaming - MSI GS75 9SE, 17.3"" FHD, Intel® Core™ i7-9750H, 32 GB RAM, 1TB SSD, RTX2060 6 GB, W10, Negro";2095,-;"


		2249,-";"
		Te ahorras: € 154,00";['value-5']
HP;"
			Portátil - HP Notebook - 15-da0009ns, 15.6"" HD, Intel® Celeron® N4000, 8 GB RAM, 128 GB SSD, W10, Blanco";360,-;Sin descuento;Sin descuento;No Valorado
HP;"
			Portátil - HP Notebook - 15-db0026ns, 15.6"" HD, AMD Ryzen™ 3 2200U, 8 GB RAM, 1 TB HDD, Windows 10, Azul";455,-;Sin descuento;Sin descuento;No Valorado
ACER;"
			Portátil - Acer SF314-57, 14 "" Full-HD, Intel® Core™ i5-1035G1, 8 GB, 512 GB SSD,  Windows 10 Home, Plata";799,-;"


		882,-";"
		Te ahorras: € 83,00";No Valorado
HP;"
			Portátil - HP Notebook - 15-da0228ns, 15.6"" HD, Intel® Core™ i3-7020U, 8 GB RAM, 1 TB HDD, Windows 10, Malva";516,-;Sin descuento;Sin descuento;No Valorado
ASUS;"
			Portátil gaming - ASUS ROG Strix G731GU-H7154T, 17"" FHD, Intel® Core™ i7-9750H, 16GB, 512GB SSD, GTX1660, W10";1499,-;Sin descuento;Sin descuento;No Valorado
ASUS;"
			Portátil gaming - ASUS ROG Zephyrus S GX701GXR-HG125T, 17"", Intel® Core™ i7-9750H, 32GB, 1TB SSD, RTX2080, W10";2599,-;Sin descuento;Sin descuento;No Valorado
MICROSOFT;"
			Convertible 2 en 1 - Microsoft Surface Pro 6, 12.3"", Intel® Core™ i7-8650U, 8GB RAM, 256GB SSD, W10";1099,-;"


		1809,-";"
		Te ahorras: € 710,00";No Valorado
MSI;"
			Portátil gaming - MSI GE75 Raider 9SF-1247ES, 17.3"", Intel® Core™ i7-9750H, 16GB RAM, 1TB+512SSD, RTX2070, W10";1999,-;Sin descuento;Sin descuento;No Valorado
HP;"
			Portátil - HP 15-da2016n, 15.6 "" HD, Intel® Core™ i5-10210U, 8 GB RAM, 1 TB HDD, Windows 10 Home, Negro";636,-;Sin descuento;Sin descuento;No Valorado
LENOVO;"
			Portátil gaming - Lenovo Legion Y540-17IRH, 17.3"" FHD, Intel® Core™ i7-9750H, 16GB, 1TB+256SSD, RTX2060, FDOS";1499,-;"


		1649,-";"
		Te ahorras: € 150,00";['value-4']
LENOVO;"
			Portátil - Lenovo Ideapad 720S-13IKB, 13.3"", Intel® Core™ i7-7500U, 8 GB RAM, 512 GB SSD, W10, Plata";1199,-;"


		1430,-";"
		Te ahorras: € 231,00";No Valorado
ASUS;"
			Portátil gaming - ASUS VivoBook 15 S512FA-BR1580T, 15.6"", i3-8145U, 8GB, 256GB SSD, Graphics 620, W10";528,-;Sin descuento;Sin descuento;No Valorado
MICROSOFT;"
			Convertible 2 en 1 - Microsoft Surface Pro X, 13"", Microsoft SQ1, 8 GB RAM, 256 GB SSD, LTE (4G), W10";1199,-;"


		1449,-";"
		Te ahorras: € 250,00";No Valorado
HUAWEI;"
			Portátil - Huawei Matebook D 2018, 15.6"", Full HD, Intel® Core™ i5-8250U, 8 GB RAM, 256 GB SSD, Plata";749,-;Sin descuento;Sin descuento;['value-5']
MSI;"
			Portátil - MSI Creator 15M, 15.6"" FHD, Intel® Core i7-9750H, 16GB, 1TB SSD, GTX1660 Ti, FreeDOS, Gris";1275,-;"


		1399,-";"
		Te ahorras: € 124,00";No Valorado
MSI;"
			Portátil gaming - MSI GL65 9SFK-286XES,  15.6"" FHD, Intel® Core™ i7-9750H, 16 GB, 512GB SSD, RTX 2070, FreeDOS";1449,-;"


		1549,-";"
		Te ahorras: € 100,00";['value-5']
MSI;"
			Portátil - MSI Prestige 14 A10RB-020ES, 14 "" FHD, Intel® Core™ i7-10510U, 16GB, 1TB SSD, MX250, W10Pro, Negro";1330,-;Sin descuento;Sin descuento;No Valorado
MSI;"
			Portátil - MSI Modern 14 A10RB, 14 "" Full HD, Intel® Core™ i7-10510U, 16 GB, 512 GB SSD,  MX250, W10, Plata";1199,-;Sin descuento;Sin descuento;No Valorado
ACER;"
			Portátil gaming - ACER, NITRO5, 15.6"", Intel® Core™ i7-9750H, 16 GB, 1 TB SSD, GTX1660TI 6, FDOS";1199,-;Sin descuento;Sin descuento;No Valorado
HP;"
			Convertible 2 en 1 - HP Spectre x360 13-aw0000ns, 13.3"" HD, Intel® Core™ i7-1065G7, 8GB RAM, 512GB, W10, Azul";1349,-;Sin descuento;Sin descuento;No Valorado
ASUS;"
			Portátil gaming- ASUS ROG Strix G G531GV-AL364, 15.6"", FHD, i7-9750H, 32GB RAM, 1TB SSD, RTX™ 2060, Freedos";1399,-;"


		1599,-";"
		Te ahorras: € 200,00";No Valorado
HP;"
			Portátil - HP Notebook - 15-db0034ns, 15.6"" HD, AMD Ryzen™ 3 2200U, 8 GB RAM, 256 GB SSD, Windows 10, Blanco";533,-;Sin descuento;Sin descuento;No Valorado
MICROSOFT;"
			Surface -  Microsoft Surface Laptop 3, 13,5 "", Intel® Core™ i5-1035G7, RAM 8 GB,  128 GB,  Plata";1099,-;Sin descuento;Sin descuento;No Valorado
MSI;"
			Portátil gaming - MSI Prestige 15, 15.6"" FHD, Intel® Core™ i7-10710U, 16GB, 512SSD, GTX1650 MAXQ,FreeDOS,Negro";1399,-;"


		1575,-";"
		Te ahorras: € 176,00";No Valorado
LENOVO;"
			Portátil - Lenovo IdeaPad S540-14IWL, Intel® Core™ i5-8265U, 256 GB, Windows 10, Lector de Huellas, Gris";749,-;Sin descuento;Sin descuento;No Valorado
LENOVO;"
			Portátil - Lenovo Ideapad S540-13IML, 13"" QHD, Intel® Core™ i5-10210U, 8GB RAM, 512GB SSD, GeForce MX250, W10";999,-;"


		1099,-";"
		Te ahorras: € 100,00";No Valorado
HUAWEI;"
			Portátil - Huawei Matebook X Pro, 13.9"", Intel® Core™ i7-8565U, 8 GB, 512 GB SSD, , MX250, W10 Home, Gris";1579,-;"


		1699,-";"
		Te ahorras: € 120,00";No Valorado
LG ELECTRONICS;"
			Portátil - LG Gram 15Z990-V 78B, 15.6"", Intel® Core™ i7-8565U, 16 GB, 512 SSD, W10";1216,-;Sin descuento;Sin descuento;['value-3']
MSI;"
			Portátil - MSI Alpha 15 A3DDK, 15.6 "" FHD, AMD Ryzen™ 7-3750H, 16 GB, 1TB SSD,  RX 5500M, FreeDOS, Negro";1049,-;"


		1136,-";"
		Te ahorras: € 87,00";No Valorado
MICROSOFT;"
			Convertible 2 en 1 - Microsoft Surface Book 2, 13.5"", Intel® Core™ i5-8350U, 8GB RAM, 256GB SSD, W10";1249,-;"


		1534,-";"
		Te ahorras: € 285,00";No Valorado
APPLE;"
			Apple MacBook Pro - MUHP2Y/A PRO SG, 13"", Intel® Core™ i5-8257U, 8 GB, 256 GB, MacOS";1747,-;Sin descuento;Sin descuento;No Valorado
HP;"
			Portátil gaming -  HP OMEN 15-dc1015ns, 15.6"" Full HD, Intel® Core™ i7-9750H, 16GB RAM, 1256GB, W10 Home,Negro";1699,-;"


		1846,-";"
		Te ahorras: € 147,00";No Valorado
MICROSOFT;"
			Portátil - Microsoft Surface Laptop 3, 15"", AMD Ryzen ™, 8GB, 256 GB, Platino metal";1567,-;Sin descuento;Sin descuento;['value-1']
ASUS;"
			Portátil gaming - ASUS Zephyrus M GU502GV-AZ038T 15.6"" FHD, Intel® Core™ i7-9750H, 16GB, 1TB SSD, RTX2060, W10";1599,-;Sin descuento;Sin descuento;No Valorado
HP;"
			Portátil - HP Notebook - 15-db0085ns, 15.6"" HD, AMD A9-9425 Dual-Core, 8 GB RAM, 256 GB SSD, Windows 10, Plata";425,-;Sin descuento;Sin descuento;No Valorado
MSI;"
			Portátil gaming - MSI GE65 Raider 9SF-292XES, 15.6"", Intel® Core™ i7-9750H, 32GB RAM, 1 TB SSD, RTX2070, FDOS";1899,-;Sin descuento;Sin descuento;No Valorado
ASUS;"
			Portátil gaming - ASUS ROG Strix SCAR III G531GW-AL137, 15.6"" FHD, i7-9750H, 16GB, 512GB SSD, RTX2070, FreeDOS";1499,-;Sin descuento;Sin descuento;No Valorado
HP;"
			Portátil - HP Notebook - 15-db0104ns, 15.6"" HD, AMD A9-9425 Dual-Core, 12 GB RAM, 256 GB SSD, W10, Blanco";468,-;Sin descuento;Sin descuento;No Valorado
HP;"
			REACONDICIONADO Portátil gaming - HP OMEN 15-ce006ns, i7-7700HQ, 15.6"" Full HD, 8 GB RAM, Memoria de 1 TB, GTX";1124,-;Sin descuento;Sin descuento;No Valorado
MICROSOFT;"
			Convertible 2 en 1 - Microsoft Surface Book 2, Intel® Core™ i7-8650U, 15"", 16 GB RAM, 1 TB SSD";2599,-;"


		3326,-";"
		Te ahorras: € 727,00";No Valorado
HP;"
			Portátil - HP Notebook 15-da0229ns, 15.6"" HD, Intel® Core™ i3-7020U, 12 GB RAM, 1TB HDD, Windows 10, Blanco";540,-;Sin descuento;Sin descuento;No Valorado
MSI;"
			Portátil gaming - MSI , GS65 9SE-462ES 15, 15"", Intel® Core™ i7-9750H, 32 GB, 1 TB, RTX2060 6, W10";2429,-;Sin descuento;Sin descuento;['value-5']
MSI;"
			Portátil gaming - MSI GT639SF-038ES15, 15"", Intel® Core™ i7-9750H, 32 GB, 1+512 GB, RTX2070 8, W10";2822,-;Sin descuento;Sin descuento;No Valorado
MICROSOFT;"
			Convertible 2 en 1 - Microsoft Surface Pro X, 13"", Microsoft SQ1, 16 GB RAM, 256 GB SSD, LTE (4G), W10";1399,-;"


		1649,-";"
		Te ahorras: € 250,00";No Valorado
ASUS;"
			Portátil - ASUS ZenBook Pro 14 UX480FD-BE010T, 14"" FHD, Intel® Core™ i7-8565U, 16GB, 512GB SSD, GTX1050, W10";1468,-;Sin descuento;Sin descuento;No Valorado
MICROSOFT;"
			Portátil - Microsoft Surface Laptop 3, 15"", AMD Ryzen ™, 8GB, 128GB, Platino metal";1349,-;Sin descuento;Sin descuento;No Valorado
HP;"
			Portátil - HP 15-DA2017NS, 15.6"" HD, Intel® Core™ i5-10210U, 8 GB RAM, 256 GB SSD, NVIDIA® GeForce® MX110, W10";744,-;Sin descuento;Sin descuento;No Valorado
HP;"
			Portátil gaming - HP OMEN 15-dk0028ns, 15.6"" FHD, Intel® Core™ i5-9300H, 16GB, 512GB SSD, GTX1660Ti, FDOS";999,-;"


		1078,-";"
		Te ahorras: € 79,00";No Valorado
GIGABYTE;"
			Portátil gaming - AORUS 15 RTX 20, 15"", Intel® Core™ i7-8750H, 16GB RAM, 2TB+512GB SSD, RTX2060, W10";2099,-;Sin descuento;Sin descuento;No Valorado
TOSHIBA;"
			Portátil - Toshiba Portégé A30-C-1D0,  Intel® Core™ i5-6200U";1053,-;Sin descuento;Sin descuento;No Valorado
ASUS;"
			Portátil gaming - ASUS ROG Zephyrus M GU502GU-ES133, 15.6"", FHD, i7-9750H, 32GB, 1TB SSD, GTX™ 1660Ti, FreeDOS";1499,-;"


		1799,-";"
		Te ahorras: € 300,00";No Valorado
MSI;"
			Portátil gaming - MSI GS75 9SD, 17.3"", FHD, Intel® Core™ i7-9750H, 16GB RAM, 1TB SSD, GTX1660Ti 6GB, FreeDOS";1449,-;Sin descuento;Sin descuento;No Valorado
MSI;"
			Portátil - MSI GP75 Leopard 9SD-451XES, 17.3'' FHD, Intel® Core™ i7-9750H, 16GB, 1TB SSD, GTX 1660Ti, FreeDOS";1399,-;Sin descuento;Sin descuento;No Valorado
ACER;"
			Portátil gaming-Acer Predator 500 PT515-51-74GC, 15"" Intel® Core™ i7-9750H, 16GB, 512SSD, RTX2060, W10";1967,-;Sin descuento;Sin descuento;No Valorado
HP;"
			Portátil gaming - HP Pavilion 15-bc509ns, 15.6 FHD, Intel® Core™ i5 9300H, 8GB, 1TB + 128GB SSD, GTX 1050, W10";779,-;Sin descuento;Sin descuento;['value-5']
LENOVO;"
			Portátil gaming - Lenovo ThinkPad P53s, 15.6"" FHD, Intel® Core™ i7-8565U, 16GB, 512GB SSD, Quadro P520, W10";1899,-;Sin descuento;Sin descuento;No Valorado
LENOVO;"
			Portátil - Lenovo Ideapad 530S-14IKB, 14"" FHD IPS, Intel® Core™ i7-8550U, 8 GB RAM, 512 GB SSD, W10";899,-;Sin descuento;Sin descuento;No Valorado
ACER;"
			Portátil gaming-Acer Predator 500 PT515-51-72B2, 15"" Intel® Core™i7-9750H, 16GB, 512SSD, RTX2080, W10";2499,-;Sin descuento;Sin descuento;No Valorado
MICROSOFT;"
			Portátil - Microsoft Surface Laptop 3, 15"", AMD Ryzen ™, 8GB, 256 GB, Negro metal";1649,-;Sin descuento;Sin descuento;No Valorado
LG ELECTRONICS;"
			Portátil - LG 14Z990-V, 14"" FHD, Intel® Core™ i5-8265U, 8 GB RAM, 256GB SSD, Intel® UHD Graphics 620, W10";1399,-;Sin descuento;Sin descuento;No Valorado
LG ELECTRONICS;"
			REACONDICIONADO Portátil - LG Gram 15Z990-V 72B, 15.6"", Intel® Core™ i7-8565U, 8 GB, 256 SSD, W10";1119,20;"


		1399,-";"
		Te ahorras: € 279,80";No Valorado
MSI;"
			Portátil gaming - Msi A10SC-048ES, 14"" Full HD, Intel® Core™ i7-10710U, 16GB, 1TB SSD, GTX1650, W10 Pro, Gris";1615,-;"


		1799,-";"
		Te ahorras: € 184,00";No Valorado
MSI;"
			Portátil - MSI P75 Creator 9SD-893ES, 15.6"", Intel® Core™ i7-9750H, 32GB, 1TBSSD, GTX1660Ti";2271,-;Sin descuento;Sin descuento;No Valorado
LENOVO;"
			REACONDICIONADO Portátil - Lenovo ThinkPad T470, 2.70GHz, Intel® Core™ i7-7500U, 14"", 1920x1080p, 8GB RAM, SSD";1499,20;"


		1874,-";"
		Te ahorras: € 374,80";No Valorado
ASUS;"
			Portátil gaming - ASUS ROG G703GXR-EV052T, 17"" FHD 144Hz, Intel® Core™ i7-9750H, 32GB, 1.5TB SSD, RTX2080, W10";2499,-;"


		2805,-";"
		Te ahorras: € 306,00";No Valorado
HP;"
			Portátil - HP EliteBook 1040 G3, 14"" FHD, Intel® Core™ i5-6200U, 8 GB, 128 GB, Intel® HD Graphics 520, W10";1704,-;Sin descuento;Sin descuento;No Valorado
HP;"
			Portátil - HP 15-da0164ns, 15.6"" HD, Intel® Core™ i3-7020U, 8 GB RAM, 1 TB + 256 GB SSD, Windows 10, Blanco";630,-;Sin descuento;Sin descuento;No Valorado
HP;"
			Portátil - HP 15-da0233ns, 15.6"" HD, Intel® Core™ i3-7020U, 8 GB RAM, 256 GB SSD, MX110, Windows 10, Azul";595,-;Sin descuento;Sin descuento;No Valorado
ASUS;"
			Portátil Gaming - Asus ROG Strix G531GV-AL019T 15.6"" FHD 120Hz, i7-9750H, RTX 2060, 16GB, 512GB SSD, W10";1699,-;"


		1822,-";"
		Te ahorras: € 123,00";No Valorado
HP;"
			Portátil - HP 15-da0163ns, 15.6"" HD, Intel® Core™ i3-7020U, 8 GB RAM, 1 TB + 128 SSD, Windows 10, Blanco";573,-;Sin descuento;Sin descuento;No Valorado
LENOVO;"
			REACONDICIONADO Portátil - Lenovo Ideapad 520S-14IKB, 14"" FHD, Intel® Core™ i7-8550U, RAM 8 GB, 512GB";799,20;Sin descuento;Sin descuento;No Valorado
HP;"
			Portátil - HP 15-da0231ns, 15.6"" HD, Intel® Core™ i3-7020U, 8 GB RAM, 1 TB + 256 GB SSD, Windows 10, Blanco";631,-;Sin descuento;Sin descuento;No Valorado
MSI;"
			Portátil gaming - MSI GT639SG-044ES15, 15"", Intel® Core™ i9-9880H, 32 GB, 1+512 GB, RTX2080 8, W10";3158,-;"


		3432,-";"
		Te ahorras: € 274,00";No Valorado
MSI;"
			Portátil gaming - MSI, GT759SG-287ES17, 17"", Intel® Core™ i7-9750H , RAM 32 GB, 2 TB, RTX2080 8, W10";3349,-;Sin descuento;Sin descuento;No Valorado
MSI;"
			Portátil gaming - MSI, GT75 9SF-262ES17, 17"", Intel® Core™ i7-9750H, RAM 32 GB, 1+1TB SSD, RTX2070 8";3289,-;Sin descuento;Sin descuento;No Valorado
ASUS;"
			REACONDICIONADO Portátil - ASUS PRO B9440UA-GV0347T, 14"" FHD, Intel® Core™ i7-7500U, 16GB, 512GB SSD";1237,60;Sin descuento;Sin descuento;No Valorado
MICROSOFT;"
			Surface -  Microsoft, Surface Laptop 3, 13,5 "", Intel® Core™ i5-1035G7, RAM 8 GB, 256 GB, Negro";1377,-;Sin descuento;Sin descuento;['value-5']
HP;"
			Portátil - HP 15s-eq0002ns, 15.6"" HD, AMD Ryzen 7, 8 GB RAM, 256 GB SSD, Windows 10 Home, Plata";646,-;Sin descuento;Sin descuento;No Valorado
MICROSOFT;"
			Surface -  Microsoft, Surface Laptop 3, 13,5 "", Intel® Core™ i5-1035G7, RAM 8 GB, 256 GB, Plata";1449,-;Sin descuento;Sin descuento;No Valorado
LENOVO;"
			Portátil gaming - Lenovo Y540-15IRH, 15.6"" Full-HD, Intel Core i7-9750H, 16 GB, 1 TB SSD, GTX1650, W10, Negro";1299,-;"


		1402,-";"
		Te ahorras: € 103,00";No Valorado
ASUS;"
			REACONDICIONADO Portátil gaming - Asus ROG Strix SCAR II GL504GV-ES020,15.6"", i7-8750H, 16GB, 512GB, RTX™ 2060";1239,20;"


		1549,-";"
		Te ahorras: € 309,80";No Valorado
LENOVO;"
			REACONDICIONADO Portátil - Lenovo Ideapad 720S-13IKB, 13.3"", Intel® Core™ i7-7500U, 8 GB RAM, 512 GB SSD, W10";838,40;Sin descuento;Sin descuento;No Valorado
HP;"
			Portátil gaming - HP 15-dc1044ns, 15.6"" FHD, Intel® Core™ i7-9750H , 16GB, 512GB+1TB, GTX1650, W10 Home, Negro";1481,-;Sin descuento;Sin descuento;No Valorado
HP;"
			Portátil gaming - HP 15-dc1043ns, 15.6"" FHD, Intel® Core™ i7-9750H, 16GB, 1 TB SSD, GTX1660Ti, W10 Home, Negro";1693,-;Sin descuento;Sin descuento;No Valorado
MICROSOFT;"
			Convertible 2 en 1 - Microsoft Surface Pro X, 13"", Microsoft SQ1, 8 GB RAM, 128 GB SSD, LTE (4G), W10";1142,-;Sin descuento;Sin descuento;No Valorado
DELL;"
			Portátil - GG28T, 14,6"", SILVER, Intel® Core™ i7-8650U, 8 GB, 256 GB, Intel® UHD Graphics 620";1929,-;Sin descuento;Sin descuento;No Valorado
MSI;"
			Portátil gaming - MSI GT83 TITAN 8RG-038ES, 18"", Intel® Core™ i7-8850H, RAM 64 GB, Negro";4699,-;"


		5575,-";"
		Te ahorras: € 876,00";No Valorado
MSI;"
			Portátil gaming - MSI Prestige 14, 14"" FHD, Intel® Core™ i7-10710U, 16GB, 1TB SSD, GTX 1650 MAXQ,FreeDOS,Negro";1399,-;Sin descuento;Sin descuento;No Valorado
TOSHIBA;"
			REACONDICIONADO Convertible 2 en 1 - Toshiba Portégé X20W-D-10P, i7-7500U, 8GB RAM, 256GB SSD, W10";1416,80;Sin descuento;Sin descuento;No Valorado
HP;"
			Portátil - HP 15s-fq1044ns, 15.6"" HD, Intel® Core™ i5-1035G1, 8 GB RAM, 256 GB SSD, Intel® UHD, W10, Blanco";690,-;Sin descuento;Sin descuento;No Valorado
THOMSON;"
			Portátil - Thomson Neo Z3, 13.3"" Full HD IPS, Qualcomm Snapdragon 835, 4GB RAM, 256 GB, LTE, W10, Gris";549,-;Sin descuento;Sin descuento;No Valorado
LENOVO;"
			Portátil gaming - Lenovo Legion Y540-17IRH, 17.3"", Intel® Core™ i7-9750HF, 16GB, 1TB+512SSD, GTX1660Ti, FDOS";1349,-;"


		1459,-";"
		Te ahorras: € 110,00";No Valorado
TOSHIBA;"
			REACONDICIONADO Portátil - Toshiba Tecra Z50-E-106, 15.6"", Intel® Core™ i5-8250U, 8GB, 256GBSSD, W10";1035,20;"


		1294,-";"
		Te ahorras: € 258,80";No Valorado
HP;"
			Portátil gaming - HP OMEN 15-dk0029ns, 15.6"" FHD, Intel® Core™ i5-9300H, 32GB, 512GB SSD, GTX1650, FDOS";999,-;"


		1078,-";"
		Te ahorras: € 79,00";No Valorado
ACER;"
			Portátil gaming - Acer Predator Helios 700, 17.3"", Intel® Core™ i9-9980HK, 16GB, 1TB SSD, RTX2080, W10, Negro";3499,-;"


		3858,-";"
		Te ahorras: € 359,00";No Valorado
TOSHIBA;"
			Portátil - Toshiba PORTÉGÉ A30-C-1D0, 13.3"" HD, Intel® Core™  i5-6200U, RAM 8GB, 500GB HDD";1143,-;Sin descuento;Sin descuento;No Valorado
TOSHIBA;"
			Portátil - Toshiba Satellite Pro A40-D12R, 14"", HD, Intel® Core™ i5-6200U, 2.5 GHz, RAM 4 G";779,-;Sin descuento;Sin descuento;No Valorado
TOSHIBA;"
			Portátil - Toshiba Tecra A40-C-1 HN, HD, Intel® Core™ i5-6200U, 8GB RAM, 256GB SSD, Plateado";1206,-;Sin descuento;Sin descuento;No Valorado
MICROSOFT;"
			Convertible 2 en 1 - Microsoft Surface Book 2, Intel® Core™ i7-8650U, 16 GB RAM, 1";2299,-;"


		2449,-";"
		Te ahorras: € 150,00";No Valorado
TOSHIBA;"
			Portátil - Toshiba PORTÉGÉ Z30-C-16J, 13.3"" FHD, Intel® Core™ i5-6200U, 256GB SSD, 8GB RAM";1035,-;Sin descuento;Sin descuento;No Valorado
ACER;"
			Portátil - Acer SF714-52T, 14"" Full HD, Intel® Core™ i7-8500Y, 8 GB RAM, 512 GB SSD, W10";1599,-;"


		1770,-";"
		Te ahorras: € 171,00";No Valorado
ACER;"
			Portátil gaming-Acer Predator 500 PT515-51-70F1, 15"" Intel® Core™ i7-9750H, 16GB, 512SSD, RTX2070, W10";2499,-;Sin descuento;Sin descuento;No Valorado
MSI;"
			Portátil gaming - MSI GE75 9SG-1084ES, 17.3"" Full HD, Intel® Core™ i7-9750H, 32GB, 1 TB SSD, RTX2080, W10";2550,-;"


		2749,-";"
		Te ahorras: € 199,00";No Valorado
MSI;"
			Portátil gaming - MSI GE75 9SG-1203XES, 17.3"" Full HD, Intel® Core™ i7-9750H, 32GB RAM, 1TB SSD, RTX2080, FDOS";2439,-;Sin descuento;Sin descuento;No Valorado
HP;"
			Portátil gaming - HP Pavilion 17-cd0000ns, 17"" FHD, Intel® Core™ i7-9750H, 16GB, 1TB+256GB SSD, GTX 1650, W10";1199,-;Sin descuento;Sin descuento;No Valorado
MSI;"
			Portátil gaming - MSI GE75 9SF-1204XES, 17.3"" Full HD, Intel® Core™ i7-9750H, 32GB, 1 TB SSD, RTX2070, FreeDOS";1999,-;Sin descuento;Sin descuento;No Valorado
ACER;"
			Portátil gaming - Acer Predator Helios700, 17.3"" Full HD, Intel® Core™ i9-9980HK, 16GB, 1TB SSD, RTX2070, W10";2999,-;"


		3289,-";"
		Te ahorras: € 290,00";No Valorado
ASUS;"
			Portátil gaming - ASUS ROG Zephyrus GX501VI-GZ033T, 15.6"" FHD, 120Hz, i7-7700HQ, 24GB, 512GB SSD, GTX1080, W10";3499,-;"


		3789,-";"
		Te ahorras: € 290,00";No Valorado
TOSHIBA;"
			Portátil - Toshiba Portege Z30-C-10W, Intel® Core™ i5-6200U, 8GB RAM, 256GB SSD, Gris metálico";1322,-;Sin descuento;Sin descuento;No Valorado
LENOVO;"
			REACONDICIONADO Portátil - Lenovo IdeaPad 720S-14IKB, 14"" FHD, Intel® Core™ i7-8550U, 8GB RAM, 512GB SSD";983,20;"


		1229,-";"
		Te ahorras: € 245,80";No Valorado
TOSHIBA;"
			Convertible 2 en 1 - TOSHIBA, Portégé Z20t-C-13Q, 12.5"", Intel® Core M5-6Y54, 8GB de RAM, SSD de,";1106,-;Sin descuento;Sin descuento;No Valorado
ASUS;"
			Portátil gaming- ASUS ROG Strix G G731GW-EV178, 17.3"", FHD, i7-9750H, 32GB RAM, 1 TB SSD, RTX2070, Freedos";1799,-;"


		2183,-";"
		Te ahorras: € 384,00";No Valorado
